header,predicate,type,value,attribute,subject_id
building_name_zh-Latn-pinyin,rdfs:label,language,,zh-Latn-pinyin,$root
building_name_zh-Hans,rdfs:label,language,,zh-Hans,$root
building_name_en,rdfs:label,language,,en,$root
significance,rdfs:comment,plain,,,$root
notes,rdfs:comment,plain,,,$root
decimal_latitude,geo:lat,plain,,,$root
decimal_longitude,geo:long,plain,,,$root
verbatim_latitude,dwc:verbatimLatitude,plain,,,$root
verbatim_longitude,dwc:verbatimLongitude,plain,,,$root
$link,schema:geo,iri,_:3,,$root
decimal_latitude,schema:latitude,plain,,,_:3
decimal_longitude,schema:longitude,plain,,,_:3
$link,dcterms:temporal,iri,_:2,,$root
building_date,rdfs:label,plain,,,_:2
building_start,gvp:estStart,datatype,,xsd:gYear,_:2
building_end,gvp:estEnd,datatype,,xsd:gYear,_:2
$constant,rdf:type,iri,time:Interval,,_:2
$link,time:hasBeginning,iri,_:4,,_:2
$link,time:hasEnd,iri,_:5,,_:2
$link,time:inDateTime,iri,_:6,,_:4
$link,time:inDateTime,iri,_:7,,_:5
building_start,time:year,datatype,,xsd:gYear,_:6
building_end,time:year,datatype,,xsd:gYear,_:7
