"header","predicate","type","value","attribute","subject_id"
"$link","dsw:occurrenceOf","iri","_:1",,"$root"
"$link","dsw:identifies","iri","_:1",,"_:2"
"$link","dcterms:relation","iri","_:5",,"$root"
"modified","dcterms:modified","plain",,,"_:5"
"language","dc:language","plain",,,"_:5"
"license","dcterms:license","iri",,,"_:5"
"rightsHolder","xmpRights:owner","plain",,,"_:5"
"accessRights","rdfs:label","plain",,,"_:3"
"$link","dcterms:accessRights","iri","_:3",,"_:5"
"references","dcterms:references","iri",,,"_:5"
"collectionID","dwc:collectionID","plain",,,"$root"
"ownerInstitutionCode","dwc:ownerInstitutionCode","plain",,,"_:5"
"basisOfRecord","dwc:basisOfRecord","plain",,,"$root"
"occurrenceID","dcterms:identifier","plain",,,"$root"
"catalogNumber","dwc:catalogNumber","plain",,,"$root"
"occurrenceRemarks","dwc:occurrenceRemarks","language",,"en","$root"
"recordedBy","dwc:recordedBy","plain",,,"$root"
"individualCount","dwc:individualCount","plain",,,"$root"
"organismQuantity","dwc:organismQuantity","plain",,,"$root"
"organismQuantityType","dwc:organismQuantityType","plain",,,"$root"
"lifeStage","dwc:lifeStage","plain",,,"$root"
"establishmentMeans","dwc:establishmentMeans","plain",,,"$root"
"identifiedBy","dwc:identifiedBy","plain",,,"_:2"
"$link","dwciri:toTaxon","iri","_:4",,"_:2"
"taxonID","dcterms:identifier","plain",,,"_:4"
"scientificNameID","tc:hasName","iri",,,"_:4"
"acceptedNameUsage","tc:nameString","plain",,,"_:4"
"scientificName","dwc:scientificName","plain",,,"_:2"
"acceptedNameUsage","dwc:acceptedNameUsage","plain",,,"_:2"
"kingdom","dwc:kingdom","plain",,,"_:2"
"phylum","dwc:phylum","plain",,,"_:2"
"order","dwc:order","plain",,,"_:2"
"family","dwc:family","plain",,,"_:2"
"genus","dwc:genus","plain",,,"_:2"
"specificEpithet","dwc:specificEpithet","plain",,,"_:2"
"infraspecificEpithet","dwc:infraspecificEpithet","plain",,,"_:2"
"taxonRank","dwc:taxonRank","plain",,,"_:2"
"scientificNameAuthorship","dwc:scientificNameAuthorship","plain",,,"_:2"
"vernacularName","dwc:vernacularName","language",,"en","_:2"
"nomenclaturalCode","dwc:nomenclaturalCode","plain",,,"_:2"
"scientificName","rdfs:label","plain",,,"_:2"
